Station_Name,Type_of_Utility,Number_of_Ratings,Longitude,Latitude,Metro line number,Metro line name,Station type,Match_Method,Rating
King Salman Oasis,Metro Station,5,46.6386072,24.7169814,Line2,Red line,Elevated,exact/alias,4.8
King Salman Park,Metro Station,1,46.7009143,24.728193,Line5,Green line,Deep Underground,exact/alias,4
King Saud University,Metro Station,2,46.6284023,24.7102491,Line2,Red line,Elevated,exact/alias,5
Manfouhah,Metro Station,9,46.7275224,24.6105439,Line1,Blue line,Elevated,exact/alias,4.3
Metro Station F2,Metro Station,43,46.7243668,24.864254,Line4,Yellow line,Elevated,nearest,4.2
Ministry of Defence,Metro Station,0,46.7182698,24.6679945,Line5,Green line,Deep Underground,exact/alias,0
Ministry of Education,Metro Station,1,46.6948417,24.7401133,Line2,Red line,At Grade,exact/alias,5
Ministry of Finance,Metro Station,0,46.7163114,24.6521076,Line5,Green line,Deep Underground,exact/alias,0
Ministry of Interior,Metro Station,0,46.6949136,24.6744353,Line1,Blue line,Deep Underground,exact/alias,0
National Museum,Metro Station,12,46.7131583,24.6452738,Line5,Green line,Deep Underground,exact/alias,4.7
Officers Club,Metro Station,2,46.7179554,24.6978852,Line5,Green line,Deep Underground,exact/alias,5
PNU1,Metro Station,182,46.72122566,24.84271858,Line4,Yellow line,Elevated,exact/alias,4.151648352
PNU2,Metro Station,266,46.71515763,24.8576111,Line4,Yellow line,Elevated,exact/alias,4.208646617
Passport Department,Metro Station,2,46.7042201,24.6598064,Line1,Blue line,Deep Underground,exact/alias,5
Qasr Al Hokm,Metro Station,10,46.7162036,24.6289022,Line3,Orange line,Deep Underground,exact/alias,4.4
Railway,Metro Station,0,46.7406288,24.6494052,Line3,Orange line,Deep Underground,exact/alias,0
Riyadh Exhibition Center,Metro Station,0,46.7271092,24.7545206,Line2,Red line,Elevated,exact/alias,0
Riyadh Metro Station - STC محطة مترو الرياض - اس تي سي (ازرق),Metro Station,407,46.6670073,24.7266373,Line1,Blue line,Deep Underground,nearest,4.8
Riyadh Metro Station | MOE,Metro Station,32,46.6947625,24.7406772,Line2,Red line,At Grade,nearest,4.6
Riyadh Metro Station | SAB,Metro Station,535,46.6163548,24.8300181,Line1,Blue line,Elevated,nearest,4.7
SAB Bank,Metro Station,4,46.6165805,24.8294509,Line1,Blue line,Elevated,nearest,2.8
STC,Metro Station,1,46.6668053,24.7267406,Line1,Blue line,Deep Underground,exact/alias,5
Sabic,Metro Station,2,46.7095202,24.8070777,Line6,Purple line,Shallow Underground,exact/alias,5
Skirinah,Metro Station,0,46.7253485,24.6178532,Line1,Blue line,Elevated,exact/alias,0
Subway,Metro Station,764,46.6559547,24.7955921,Line4,Yellow line,Elevated,nearest,4.3
Sultanah,Metro Station,0,46.6864245,24.6149704,Line3,Orange line,Elevated,exact/alias,0
Transportation Center,Metro Station,4,46.7451024,24.5982926,Line1,Blue line,Elevated,exact/alias,5
Tuwaiq,Metro Station,4,46.5596991,24.5854683,Line3,Orange line,Elevated,exact/alias,5
Uthman Bin Affan Road,Metro Station,1,46.6959646,24.8013859,Line4,Yellow line,Elevated,exact/alias,5
Western Station,Metro Station,1,46.6144964,24.5819475,Line3,Orange line,Elevated,exact/alias,1
